names,lat,lon,geometry
Godrej Air ,12.9886656,77.7118501,POINT (77.71185009999999 12.9886656)
Bhartiya City Nikoo Homes II ,13.085357,77.644525,POINT (77.644525 13.085357)
NCN Swasthi ,13.0187542,77.6305949,POINT (77.63059489999999 13.0187542)
L&T Raintree Boulevard ,13.0690275,77.5907992,POINT (77.59079919999999 13.0690275)
Aparna Elina ,13.0200021,77.5518105,POINT (77.5518105 13.0200021)
Eden and Serene at Brigade Cornerstone Utopia ,12.9344677,77.7439053,POINT (77.74390529999999 12.9344677)
DNR Casablanca ,12.9941357,77.6892331,POINT (77.6892331 12.9941357)
Suvastu Oak Leaf ,12.8810346,77.7602039,POINT (77.76020389999999 12.8810346)
Mahaveer Horizon ,13.00245,77.708823,POINT (77.708823 13.00245)
DSMAX SKYCLASSIC ,12.8178837,77.6708954,POINT (77.67089539999999 12.8178837)
Godrej Reserve ,13.2417155,77.7137306,POINT (77.71373059999999 13.2417155)
GR Elysium 3 ,13.0000972,77.7514952,POINT (77.75149519999999 13.0000972)
DSMAX SKYSCAPE ,13.0550595,77.6830226,POINT (77.6830226 13.0550595)
Shri Sai Mounika Park Vesta ,13.0415694,77.6487652,POINT (77.6487652 13.0415694)
Mahindra Lifespace Windchimes Phase II ,12.88624,77.597681,POINT (77.59768099999999 12.88624)
Goyal Orchid Woods ,13.0663138,77.6507041,POINT (77.6507041 13.0663138)
Sai Charan Hill View ,12.8904203,77.5148337,POINT (77.5148337 12.8904203)
Prestige Kew Gardens ,12.9481617,77.6809412,POINT (77.68094119999999 12.9481617)
Deccan Habitat ,13.029479,77.545092,POINT (77.545092 13.029479)
Klassik Landmark Phase 2 ,12.8956917,77.6775754,POINT (77.67757539999999 12.8956917)
Sobha Morzaria Grandeur ,12.9339158,77.6019266,POINT (77.6019266 12.9339158)
Poorvi Shreenivasa Grand ,12.885729,77.537075,POINT (77.537075 12.885729)
DSMAX SAVERA ,12.9060634,77.5403467,POINT (77.5403467 12.9060634)
NVT Mystic Garden ,12.7924016,77.7792542,POINT (77.7792542 12.7924016)
GRC Subhiksha ,12.8848843,77.6819939,POINT (77.68199389999999 12.8848843)
Rohan Iksha ,12.9266782,77.6990608,POINT (77.6990608 12.9266782)
DNR Reflection ,12.9240559,77.668665,POINT (77.66866499999999 12.9240559)
Vaishnavi Serene ,13.1241534,77.5672242,POINT (77.5672242 13.1241534)
Uber Verdant ,12.906937,77.699942,POINT (77.69994199999999 12.906937)
Aashrayaa Eternia ,12.8842757,77.6279557,POINT (77.62795570000002 12.8842757)
Tirumala Heights ,12.878639,77.672014,POINT (77.67201399999999 12.878639)
Total Environment Pursuit of A Radical Rhapsody ,12.99143,77.7205139,POINT (77.7205139 12.99143)
New Dawn ,12.8640688,77.6979503,POINT (77.6979503 12.8640688)
SJR Blue Waters ,12.8847986,77.6675021,POINT (77.66750209999999 12.8847986)
Salarpuria Sattva Opus ,13.0445527,77.5088305,POINT (77.5088305 13.0445527)
Embassy Lake Terraces ,13.0499669,77.5933108,POINT (77.5933108 13.0499669)
Yuva Eka ,12.8759951,77.6421833,POINT (77.6421833 12.8759951)
Grand Gandharva ,12.9320964,77.5102245,POINT (77.51022449999999 12.9320964)
LGCL New Life Villas ,12.884808,77.685152,POINT (77.685152 12.884808)
Reliaable Residenza ,12.8656562,77.690064,POINT (77.69006399999999 12.8656562)
NBR Trifecta ,12.8381526,77.8432415,POINT (77.8432415 12.8381526)
